Date,Open,High,Low,Close,Adj Close,Volume
2020-05-15,1403.47,1408.19,1398.71,1403.44,1403.44,114462900
2020-05-18,1409.39,1416.94,1405.65,1410.16,1410.16,100010700
2020-05-19,1419.77,1428.12,1418.76,1423.97,1423.97,171866300
2020-05-20,1429.26,1435.12,1420.18,1435.12,1435.12,101428000
2020-05-21,1437.49,1455.13,1437.13,1452.11,1452.11,168060000
2020-05-22,1451.37,1451.44,1435.23,1436.76,1436.76,144048200
2020-05-27,1446.91,1458.24,1446.42,1451.73,1451.73,189841100
2020-05-28,1453.53,1458.73,1449.25,1457.5,1457.5,189529500
2020-05-29,1450.54,1473.77,1448.84,1473.25,1473.25,595843500
2020-06-02,1484.51,1509.74,1480.17,1507.69,1507.69,225473000
2020-06-03,1515.68,1542.01,1492.34,1538.53,1538.53,292940300
2020-06-04,1541.69,1561.84,1541.5,1561.84,1561.84,261501300
2020-06-05,1561.17,1564.13,1547.57,1556.33,1556.33,189450200
2020-06-09,1572.8,1590.83,1567.97,1575.16,1575.16,290834700
2020-06-10,1576.26,1578.1,1570.45,1575.27,1575.27,165205700
2020-06-11,1577.65,1586.22,1550.9,1557.25,1557.25,212285100
2020-06-12,1512.39,1546.02,1509.16,1546.02,1546.02,186027200
2020-06-15,1548.05,1548.05,1490.44,1498.83,1498.83,218572900
2020-06-16,1518.92,1528.76,1517.47,1517.71,1517.71,143663500
2020-06-17,1527.98,1528.63,1510.71,1526.32,1526.32,154681700
2020-06-18,1524.51,1525.69,1503.35,1504.91,1504.91,200979200
2020-06-19,1497.96,1512.94,1496.79,1507.26,1507.26,254830200
2020-06-22,1505.95,1511.65,1502.64,1511.24,1511.24,98222800
2020-06-23,1511.15,1511.54,1492.32,1507.04,1507.04,109465200
2020-06-24,1507.38,1507.38,1496.99,1502.63,1502.63,92440000
2020-06-25,1494.44,1498.61,1484.4,1489.2,1489.2,93460100
2020-06-26,1491.97,1495.57,1483.05,1488.14,1488.14,94462100
2020-06-29,1485.19,1494.97,1476.28,1494.43,1494.43,104824100
2020-06-30,1493.41,1509.12,1492.07,1500.97,1500.97,140817600
2020-07-01,1503.93,1517.01,1497.54,1514.43,1514.43,114831700
2020-07-02,1514.78,1536.36,1513.21,1536.28,1536.28,132430200
2020-07-03,1543.48,1552.65,1538.16,1552.65,1552.65,85868800
2020-07-06,1553.79,1577.82,1553.79,1576.9,1576.9,120130400
2020-07-07,1582.03,1587.64,1562.88,1566.72,1566.72,152251200
2020-07-08,1562.08,1584.67,1562.08,1583.5,1583.5,127417600
2020-07-09,1583.94,1590.63,1579.9,1583.25,1583.25,164873700
2020-07-10,1578.92,1591.84,1574.08,1591.84,1591.84,145111600
2020-07-13,1596.4,1608.34,1595.75,1606.43,1606.43,136029500
