Date,Open,High,Low,Close,Adj Close,Volume
4-Jan-21,"1,629.01","1,629.17","1,593.12","1,602.57","1,602.57","519,385,300"
31-Dec-20,"1,644.26","1,644.26","1,627.21","1,627.21","1,627.21","122,930,600"
30-Dec-20,"1,635.60","1,645.31","1,631.77","1,644.41","1,644.41","122,722,900"
29-Dec-20,"1,644.37","1,645.76","1,630.83","1,634.99","1,634.99","132,040,100"
28-Dec-20,"1,642.23","1,655.96","1,639.92","1,643.90","1,643.90","97,323,000"
24-Dec-20,"1,649.08","1,649.71","1,636.98","1,641.17","1,641.17","70,670,800"
23-Dec-20,"1,631.55","1,652.59","1,627.53","1,647.50","1,647.50","115,592,000"
22-Dec-20,"1,646.80","1,647.36","1,625.39","1,631.92","1,631.92","170,479,700"
21-Dec-20,"1,651.86","1,657.82","1,641.92","1,647.89","1,647.89","120,517,100"
18-Dec-20,"1,676.84","1,678.11","1,644.80","1,652.49","1,652.49","217,881,000"
17-Dec-20,"1,684.27","1,684.30","1,669.69","1,674.35","1,674.35","149,955,400"
16-Dec-20,"1,694.33","1,695.87","1,679.39","1,681.41","1,681.41","191,726,100"
15-Dec-20,"1,661.54","1,679.10","1,655.88","1,674.02","1,674.02","226,532,100"
14-Dec-20,"1,682.46","1,695.96","1,662.45","1,662.74","1,662.74","361,491,200"
11-Dec-20,"1,660.76","1,689.77","1,660.49","1,684.58","1,684.58","295,540,900"
10-Dec-20,"1,651.67","1,658.07","1,647.65","1,654.39","1,654.39","173,122,000"
9-Dec-20,"1,640.99","1,654.15","1,638.77","1,646.53","1,646.53","246,630,400"
8-Dec-20,"1,625.44","1,631.72","1,624.95","1,631.70","1,631.70","202,623,800"
7-Dec-20,"1,624.07","1,627.59","1,618.98","1,622.89","1,622.89","155,252,700"
4-Dec-20,"1,627.91","1,628.82","1,618.54","1,621.85","1,621.85","156,357,300"
3-Dec-20,"1,601.13","1,628.26","1,599.36","1,628.26","1,628.26","181,778,200"
2-Dec-20,"1,604.49","1,605.60","1,592.93","1,598.72","1,598.72","221,580,800"
1-Dec-20,"1,580.17","1,604.57","1,580.17","1,602.26","1,602.26","218,992,400"
30-Nov-20,"1,606.77","1,614.77","1,562.71","1,562.71","1,562.71","415,540,700"
27-Nov-20,"1,615.20","1,618.68","1,605.68","1,607.59","1,607.59","204,625,000"
26-Nov-20,"1,597.69","1,612.78","1,590.65","1,612.11","1,612.11","184,343,200"
25-Nov-20,"1,582.31","1,600.20","1,582.31","1,597.58","1,597.58","196,393,300"
24-Nov-20,"1,588.53","1,599.98","1,578.39","1,578.39","1,578.39","186,434,400"
23-Nov-20,"1,593.26","1,600.58","1,592.71","1,597.48","1,597.48","139,314,000"
20-Nov-20,"1,584.99","1,599.49","1,579.49","1,593.75","1,593.75","192,318,500"
19-Nov-20,"1,595.79","1,596.55","1,583.68","1,583.68","1,583.68","174,677,700"
18-Nov-20,"1,611.08","1,611.58","1,595.09","1,604.75","1,604.75","237,706,200"
17-Nov-20,"1,599.62","1,613.34","1,593.02","1,610.15","1,610.15","467,715,300"
16-Nov-20,"1,593.35","1,602.23","1,587.06","1,599.66","1,599.66","328,920,300"
13-Nov-20,"1,588.38","1,592.19","1,572.00","1,589.69","1,589.69","178,410,200"
12-Nov-20,"1,565.99","1,592.28","1,558.71","1,590.78","1,590.78","283,572,200"
11-Nov-20,"1,572.69","1,572.69","1,550.44","1,570.08","1,570.08","242,168,200"
10-Nov-20,"1,521.95","1,575.07","1,516.54","1,575.07","1,575.07","592,756,400"
9-Nov-20,"1,521.63","1,533.05","1,513.21","1,524.32","1,524.32","109,245,000"
6-Nov-20,"1,500.80","1,519.64","1,497.32","1,519.64","1,519.64","139,420,600"
5-Nov-20,"1,468.86","1,501.49","1,467.84","1,501.49","1,501.49","128,922,500"
4-Nov-20,"1,464.49","1,473.53","1,462.37","1,464.61","1,464.61","88,912,900"
3-Nov-20,"1,469.11","1,470.69","1,460.60","1,461.45","1,461.45","92,265,300"
2-Nov-20,"1,465.47","1,468.09","1,452.13","1,466.46","1,466.46","114,250,300"
30-Oct-20,"1,494.31","1,494.87","1,461.05","1,466.89","1,466.89","165,737,400"
28-Oct-20,"1,505.48","1,505.64","1,492.11","1,495.20","1,495.20","105,403,500"
27-Oct-20,"1,492.11","1,504.55","1,489.98","1,500.35","1,500.35","140,621,900"
26-Oct-20,"1,495.56","1,497.54","1,482.15","1,494.61","1,494.61","102,464,600"
23-Oct-20,"1,499.76","1,502.67","1,489.83","1,494.64","1,494.64","130,007,200"
22-Oct-20,"1,492.95","1,500.05","1,485.77","1,498.80","1,498.80","163,496,000"
21-Oct-20,"1,512.04","1,513.20","1,492.19","1,492.40","1,492.40","183,844,000"
20-Oct-20,"1,518.50","1,520.97","1,510.69","1,510.97","1,510.97","130,512,500"
